"title","pCategoryName","pCategoryID","sCategoryName","sCategoryID","itemId","price"
"4G LTE Unlocked LG Google Nexus 5X H791 GSM Original Smartphone 16GB/32GB","Cell Phones & Smartphones","9355","","","194384931829","99.31"
"SAMSUNG GALAXY J7 - (METROPCS) CLEAN ESN, UNTESTED, PLEASE READ!! 39800","Cell Phones & Smartphones","9355","","","184583116251","10.78"
"Original Google LG Nexus 5X H791 32GB ROM Factory Unlocked 4G LTE Smartphone","Cell Phones & Smartphones","9355","","","174344505715","94.99"
"UNLOCKED LG NEXUS 4 E960 CELL PHONE ROGERS KOODO TELUS BELL LUCKY MOBILE FIDO++","Cell Phones & Smartphones","9355","","","184649125543","64.22"
"LG Mako Original Google LG Nexus 4 E960 8GB/16GB ROM Unlocked 3G Wifi Smartphone","Cell Phones & Smartphones","9355","","","173684990084","81.69"
"Motorola Google Nexus 6 XT1103 Unlocked 32GB&64GB Smartphone 4G LTE GSM","Cell Phones & Smartphones","9355","","","354020824046","126.03"
"LG Nexus 5X H790 16GB&32GB 4G LTE 5.2" Android Unlocked (US Warranty GSM +CDMA)","Cell Phones & Smartphones","9355","","","164280109045","90.24"
"Unlocked LG Google Nexus 5X H791 GSM Original 4G LTE 16GB/32GB Smartphone","Cell Phones & Smartphones","9355","","","363373820998","110.24"
"Motorola Google Nexus 6 XT1103 32GB&64GB Unlocked 4G LTE 13.0 MP GSM Smartphone","Cell Phones & Smartphones","9355","","","363331528724","132.99"
"Original Samsung Galaxy Nexus i9250 GPS WiFi 5.0MP 4.65" TouchScreen 3G Unlocked","Cell Phones & Smartphones","9355","","","254857332378","81.31"
"Original Huawei Nexus 6P 12MP 128GB ROM GSM 4G LTE Android Mobile phone 5.7"","Cell Phones & Smartphones","9355","","","144103204669","149.22"
"Android LG Nexus 5X H798 Original 32GB ROM 2GB RAM 4G LTE 5.2" Unlocked","Cell Phones & Smartphones","9355","","","174997352057","90.24"
"Original LG Google Nexus 4 E960 Unlocked 4.7" 3G Wifi 16GB 8MP NFC Android","Cell Phones & Smartphones","9355","","","274756901731","85.49"
"Unlocked Motorola Google Nexus 6 XT1103 32GB&64GB 13.0 MP 4G LTE GSM Smartphone","Cell Phones & Smartphones","9355","","","333631407499","104.49"
"Unlocked Motorola Google Nexus 6 XT1103 32GB&64GB 4G LTE 13.0 MP GSM Smartphone","Cell Phones & Smartphones","9355","","","194023652910","132.99"
"Motorola Google Nexus 6 XT1103 32GB&64GB 13.0 MP 4G LTE GSM Unlocked Smartphone","Cell Phones & Smartphones","9355","","","174837783492","131.41"
"Unlocked LG Google Nexus 5X H791 GSM 4G LTE 16GB/32GB Original Smartphone","Cell Phones & Smartphones","9355","","","402829002987","110.84"
"LG Google Nexus 5X H791 GSM Unlocked Original 16GB/32GB Smartphone 4G LTE","Cell Phones & Smartphones","9355","","","234013860847","99.98"
"Android LG Google Nexus 4 E960 Original 3G Wifi 16GB 8MP NFC 4.7" Unlocked","Cell Phones & Smartphones","9355","","","334006489730","90.09"
"LG Nexus 5X H798 32GB ROM 2GB RAM 4G LTE Original Unlocked Mobile Phone","Cell Phones & Smartphones","9355","","","174970858221","94.99"
"Unlocked LG Google Nexus 5X H791 GSM 4G LTE Original Smartphone 16GB/32GB","Cell Phones & Smartphones","9355","","","174974209401","94.04"
"Original LG Google Nexus 5X H791 GSM 4G LTE Smartphone Unlocked 16GB/32GB","Cell Phones & Smartphones","9355","","","174988407012","94.04"
"Google Huawei Nexus 6P 128GB ROM GSM 4G LTE 12MP 5.7" Android Mobile phone","Cell Phones & Smartphones","9355","","","274837682953","145.24"
"4G LTE Google Huawei Nexus 6P 12MP 128GB ROM GSM 5.7" Android Mobile phone","Cell Phones & Smartphones","9355","","","174811211789","139.17"
"LG Nexus 5X H790 16GB&32GB 4G LTE Unlocked Android (US Warranty GSM +CDMA)","Cell Phones & Smartphones","9355","","","194384962359","103.54"
"LG Google Nexus 5X H791 GSM Original 4G LTE Smartphone Unlocked 16GB/32GB","Cell Phones & Smartphones","9355","","","274776831817","99.31"
"Unlocked LG Nexus 5X H790 16GB&32GB 4G LTE 5.2" Android (US Warranty GSM +CDMA)","Cell Phones & Smartphones","9355","","","403029786765","113.74"
"Unlocked Motorola Google Nexus 6 XT1103 32GB&64GB 4G LTE GSM Smartphone","Cell Phones & Smartphones","9355","","","403588783423","132.99"
"Google Huawei Nexus 6P 12MP 128GB ROM GSM 4G LTE Android 5.7" Mobile phone","Cell Phones & Smartphones","9355","","","402977443707","144.55"
"4G LTE Motorola Google Nexus 6 XT1103 32GB&64GB Unlocked 13.0 MP GSM Smartphone","Cell Phones & Smartphones","9355","","","274734261249","137.99"
